Tuition,FRP_Active,FRP_Cancelled,FRP_Take_up_percent_,EZ_Pay_Take_Up_Rate,School_Sponsor,SPR_Group_Revenue,FPP_to_PAX,Num_of_Non_FPP_PAX,ID_TRIP,ID_SALES,Program_Code,From_Grade,To_Grade,Group_State,Days,Travel_Type,Cancelled_Pax,SPR_Product_Type,FPP,Total_Pax,GroupGradeType,MajorProgramCode,FPP_to_School_enrollment,Retained,Region,School_Type,Parent_Meeting_Flag,MDR_Low_Grade,MDR_High_Grade,Total_School_Enrollment,Income_Level,SPR_New_Existing,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,Days_from_Initial_System_to_Departure,Days_from_Latest_RPL_to_Departure,Has_Early_RPL,Days_from_FirstMeeting_to_Departure,Days_from_LastMeeting_to_Departure,Days_from_Deposit_to_Departure,Days_from_Departure_to_Return,Days_between_Meetings,Days_between_System_and_FirstMeeting,Days_between_System_and_LastMeeting,Cancellation_Rate,Revenue_per_PAX,Deposit_Ratio,Insurance_Cancellation_Rate,Months_to_Departure,Past_Bookings,Initial_Year,Initial_Season,Grade_Span,Departure_Season
397,1,1,0.020913435758935,0.017855577091883,1,447,0.967035782753087,2,1389,HS1389A,HS,6.0,7.0,CA,1,A,6,CA History,42,56,PK->Elementary,H,0.054841225784392,0,Southern California,PUB,1,1.0,5.0,874,5.0,1,2,407.0,272.0,401,282,1,407,272,203,1,135,-6,129,0.0967741935483871,7.982142857142857,7.089285714285714,1.0,6,40.0,2018,1,1.0,2
563,0,0,0.6008762055675674,0.217301812647201,0,579,0.993127324453424,1,3090,HS3090A,HS,6.0,6.0,CA,7,A,0,CA History,44,44,PK->Middle,H,0.03525993967086,0,Southern California,PUB,0,1.0,8.0,1313,10.0,1,1,236.0,232.0,348,276,1,236,232,150,7,4,112,116,0.0,13.159090909090908,12.795454545454545,0.18181818181818182,5,89.0,2018,2,0.0,2
617,0,0,0.6008762055675674,0.217301812647201,0,529,0.973945817054653,1,3639,HS3639A,HS,3.0,3.0,CA,7,A,0,CA History,48,48,PK->Middle,H,0.034835018104198,0,Southern California,PUB,0,1.0,8.0,1122,10.0,0,1,236.0,232.0,349,260,1,236,232,165,7,4,113,117,0.0,11.020833333333334,12.854166666666666,0.18181818181818182,6,92.0,2018,2,0.0,2
446,1,1,0.019031830062446,0.019285349239465,1,381,0.981972198095321,2,4249,HS4249A,HS,5.0,6.0,CA,2,A,6,CA History,45,50,PK->Elementary,H,0.057255009368505,0,Southern California,PUB,1,1.0,5.0,951,5.0,0,2,398.0,267.0,421,263,1,398,267,208,2,131,23,154,0.10714285714285714,7.62,8.92,1.0,7,26.0,2018,1,1.0,2
582,15,11,0.597236981275838,0.035036284101661,1,596,0.963425740042094,2,1021,HS1021A,HS,6.0,6.0,CA,4,A,24,CA History,24,24,Elementary->Elementary,H,0.052117332755443,1,Southern California,PUB,0,4.0,5.0,467,7.0,0,1,236.0,232.0,316,196,1,236,232,163,4,4,80,84,0.5,24.833333333333332,24.25,0.7333333333333333,6,65.0,2018,1,0.0,2
72,13,0,0.120346712276273,0.022029853980109,0,75,0.90230273314182,11,1055,HIS1055T,HIS,6.0,6.0,IL,3,T,5,IL History,103,112,PK->Middle,H,0.119425521007868,1,Other,PUB,1,1.0,8.0,862,11.0,1,1,250.0,244.0,279,252,0,250,244,194,3,6,29,35,0.042735042735042736,0.6696428571428571,0.6428571428571429,0.0,6,0.0,2018,2,0.0,2
1638,48,15,0.699719033721694,0.181884964808257,0,1644,0.904456096138396,6,1075,HD1075A,HD,6.0,6.0,CA,9,A,17,East Coast,80,70,Middle->Middle,H,0.090905960063775,1,Southern California,PUB,1,6.0,8.0,760,6.0,1,1,272.0,275.0,420,288,1,272,275,234,9,-3,148,145,0.19540229885057472,23.485714285714284,23.4,0.3125,7,92.0,2018,1,0.0,2
389,37,3,0.533460183997706,0.302073224026844,1,377,0.960852253856289,2,1090,HS1090A,HS,6.0,6.0,CA,4,A,2,CA History,58,62,K->Middle,H,0.193734752156499,1,Southern California,PNC,1,2.0,8.0,355,14.0,1,1,252.0,260.0,364,260,0,252,260,232,4,-8,112,104,0.03125,6.080645161290323,6.274193548387097,0.08108108108108109,8,80.0,2018,2,0.0,2
1581,3,5,0.618154951516131,0.179159579410445,0,1848,0.700163346211614,2,1240,HD1240A,HD,10.0,10.0,TX,18,A,6,East Coast,4,8,Middle->Middle,H,0.006555877474069,1,Houston,PUB,1,6.0,8.0,698,14.0,1,2,317.0,159.0,372,183,1,317,159,152,18,158,55,213,0.42857142857142855,231.0,197.625,1.6666666666666667,5,57.0,2018,1,0.0,1
2487,17,13,0.473516572943092,0.29234296690039,0,2518,0.924351755865582,3,1329,HC1329A,HC,6.0,6.0,OR,29,A,18,East Coast,31,41,Middle->Middle,H,0.054776522374613,1,Pacific Northwest,PUB,1,6.0,8.0,643,7.0,1,1,285.0,284.0,454,298,1,285,284,263,29,1,169,170,0.3050847457627119,61.41463414634146,60.65853658536585,0.7647058823529411,9,10.0,2018,1,0.0,2
